ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
170,When I Was Your Man,Bruno Mars,1,2012,12,5,5/12/2012,Quarta-Feira,2420,11,1661187319,0,0,806,0,145,,Major,60,43,27,94,0,14,4
171,Let Me Down Slowly,Alec Benjamin,1,2018,5,25,25/5/2018,Sexta-Feira,5897,19,1374581173,0,0,885,0,150,C#,Minor,65,51,55,73,0,14,3
172,Am I Dreaming ,"A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,2/6/2023,Sexta-Feira,727,16,94186466,17,60,28,1,90,A,Minor,60,13,53,4,0,21,4
173,Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,1/1/2013,Terça-Feira,33783,26,1788326445,133,92,2.733,1,85,F,Major,55,42,53,17,0,22,3
174,Demons,Imagine Dragons,1,2012,1,1,1/1/2012,Domingo,26694,13,1840364617,65,82,3.425,4,180,D#,Major,33,38,71,20,0,28,5
175,Reminder,The Weeknd,1,2016,11,25,25/11/2016,Sexta-Feira,6518,17,684675814,45,85,238,1,160,G#,Major,71,40,50,16,0,16,22
176,Shake It Off,Taylor Swift,1,2014,1,1,1/1/2014,Quarta-Feira,21335,13,1113838873,328,70,1.378,9,160,G,Major,65,95,80,5,0,41,16
177,Why'D You Only Call Me When You'Re High?,Arctic Monkeys,1,2013,1,1,1/1/2013,Terça-Feira,23389,29,1267333350,54,70,1.089,2,92,D,Major,70,81,63,4,0,8,4
178,Snap,Rosa Linn,1,2022,3,19,19/3/2022,Sábado,3202,18,726307468,148,80,226,24,170,,Major,56,53,64,11,0,45,6
179,Shape Of You,Ed Sheeran,1,2017,1,6,6/1/2017,Sexta-Feira,32181,10,3562543890,33,0,6.808,7,96,C#,Minor,83,93,65,58,0,9,8
180,Night Changes,One Direction,1,2014,11,17,17/11/2014,Segunda-Feira,7124,18,1131090940,60,20,2,0,120,G#,Major,67,40,52,86,0,12,4
181,Fin De Semana,"Oscar Maydon, Junior H",2,2023,1,13,13/1/2023,Sexta-Feira,592,14,307370144,11,84,6,1,98,,Major,70,37,54,6,0,9,8
182,Creep,Radiohead,1,1992,9,21,21/9/1992,Segunda-Feira,36724,7,1271293243,146,72,6.807,5,92,G,Major,53,12,34,1,0,12,4
183,Car'S Outside,James Arthur,1,2019,10,18,18/10/2019,Sexta-Feira,794,10,265882712,38,25,61,0,150,A,Major,34,24,56,4,0,11,3
184,Apocalypse,Cigarettes After Sex,1,2017,3,21,21/3/2017,Terça-Feira,13091,17,841749534,61,96,790,2,94,F,Major,37,17,47,2,46,11,3
185,Cheques,Shubh,1,2023,5,19,19/5/2023,Sexta-Feira,67,8,47956378,7,10,0,0,90,E,Minor,74,36,63,26,0,27,5
186,Pink + White,Frank Ocean,1,2016,8,20,20/8/2016,Sábado,21574,30,806397070,112,68,266,1,160,A,Major,54,54,55,67,0,42,11
187,Circles,Post Malone,1,2019,8,30,30/8/2019,Sexta-Feira,19664,16,2132335812,391,73,633,3,120,,Major,70,59,75,24,0,9,4
188,Just The Way You Are,Bruno Mars,1,2010,1,1,1/1/2010,Sexta-Feira,21106,13,1641426668,82,0,2.946,0,109,F,Major,63,46,85,1,0,9,5
189,Take Me To Church,Hozier,1,2013,9,13,13/9/2013,Sexta-Feira,23804,31,2135158446,187,99,4.623,1,129,E,Minor,57,41,66,63,0,12,5
190,Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,16/12/2022,Sexta-Feira,849,22,367316268,27,129,21,7,157,G,Major,54,75,60,30,0,7,5
191,You Belong With Me ,Taylor Swift,1,2021,4,9,9/4/2021,Sexta-Feira,2619,12,350381515,47,90,1,0,130,F#,Major,63,49,73,5,0,9,3
192,Tití Me Preguntó,Bad Bunny,1,2022,5,6,6/5/2022,Sexta-Feira,9037,42,1264310836,124,133,139,14,107,F,Minor,65,19,72,10,0,13,25
193,Better Than Revenge ,Taylor Swift,1,2023,7,7,7/7/2023,Sexta-Feira,86,11,30343206,3,33,3,0,146,B,Minor,50,67,89,0,0,19,8
194,Shut Up My Moms Calling,Hotel Ugly,1,2020,2,10,10/2/2020,Segunda-Feira,1788,14,405136812,1,50,19,0,139,A,Minor,48,37,41,32,0,10,10
195,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,1/7/1968,Segunda-Feira,15890,14,1145727611,71,37,653,0,116,,Major,74,76,70,7,0,13,3
196,Es Un Secreto,Plan B,1,2010,7,20,20/7/2010,Terça-Feira,492,36,540654286,4,3,19,0,95,F#,Minor,84,52,77,12,0,7,4
197,Polaris - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,8/6/2023,Quinta-Feira,773,33,57312735,20,46,21,8,170,G#,Minor,62,55,80,15,0,37,7
198,Ditto,NewJeans,1,2022,12,19,19/12/2022,Segunda-Feira,1154,22,397582059,28,125,11,1,134,F#,Minor,81,18,64,3,0,10,11
199,Take On Me,a-ha,1,1984,10,19,19/10/1984,Sexta-Feira,44927,17,1479115056,34,0,5.108,6,84,F#,Minor,57,86,90,2,0,9,5
200,Annihilate ,"Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,2/6/2023,Sexta-Feira,551,4,86773632,13,46,20,1,146,B,Minor,61,20,48,21,0,12,6
201,Angel Pt 1 ,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,1/5/2023,Segunda-Feira,577,14,133753727,22,18,15,1,74,A#,Minor,53,24,67,11,0,10,28
202,Acróstico,Shakira,1,2023,5,11,11/5/2023,Quinta-Feira,955,29,123124076,37,50,79,11,144,B,Major,75,35,48,84,0,10,12
203,Amg,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,24/11/2022,Quinta-Feira,995,19,463564958,12,117,9,5,136,B,Minor,77,79,73,15,0,27,10
204,Phir Aur Kya Chahiye ,"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,15/5/2023,Segunda-Feira,178,6,64533040,6,71,1,0,100,E,Major,56,53,55,53,0,12,4
205,S-Class,Stray Kids,1,2023,6,2,2/6/2023,Sexta-Feira,290,19,65496046,9,101,5,0,105,F,Minor,89,67,78,9,0,7,33
206,Hits Different,Taylor Swift,1,2023,5,26,26/5/2023,Sexta-Feira,547,0,68616963,15,15,6,0,106,F,Major,67,24,78,15,0,30,4
207,Chanel,"Becky G, Peso Pluma",2,2023,3,30,30/3/2023,Quinta-Feira,681,10,161460990,15,92,21,2,132,D,Major,85,53,68,40,0,9,4
